,Date,year,month,month_label,Continent_name,Country_name,City,co,pm25,pm10,o3,so2,no2,aqi,aqi_Category,humidity,pressure,temperature,wind
0,2014-12-29,2014,12,Dec,South America,Brazil,São Paulo,19.0,107.0,91.0,41.9,14.35,71.8,107.0,Malsain,96.13071895424837,1019.1882352941176,28.85882352941176,9.55751633986928
1,2014-12-29,2014,12,Dec,South America,Chile,Santiago,27.8,70.0,56.0,54.5,16.9,24.2,70.0,Modere,72.50409836065573,1023.9155737704917,32.41885245901639,8.813934426229508
2,2014-12-29,2014,12,Dec,Asia,China,Beijing,42.85000000000001,173.0,110.0,39.5,35.35,99.30000000000001,173.0,Mauvais,71.20731707317073,1031.8130081300812,3.772357723577236,5.572357723577236
3,2014-12-29,2014,12,Dec,Europe,France,Paris,10.9,154.0,71.0,10.6,9.2,80.4,154.0,Mauvais,97.62540983606557,1019.1647540983607,14.261475409836066,9.255737704918033
4,2014-12-29,2014,12,Dec,Europe,United Kingdom,London,12.7,121.0,51.0,15.0,7.9,65.1,121.0,Malsain,95.0202614379085,1015.6885620915033,6.897712418300653,8.276143790849673
5,2014-12-29,2014,12,Dec,Asia,India,Delhi,92.0,329.0,322.0,87.4,21.2,108.3,329.0,Dangereux,100.8088,1028.4304,34.2816,14.9848
6,2014-12-29,2014,12,Dec,Europe,Italy,Milan,0.1,104.0,44.0,17.5,2.6,52.5,104.0,Malsain,99.21803278688525,1018.7819672131147,8.537704918032786,3.6434426229508197
7,2014-12-29,2014,12,Dec,Asia,Japan,Tokyo,18.9,151.0,54.0,18.4,5.8,50.1,151.0,Mauvais,86.72439024390245,1021.9121951219512,15.829268292682928,13.539837398373985
8,2014-12-29,2014,12,Dec,North America,United States,Los Angeles,16.7,117.0,48.0,9.199999999999996,27.06357388316152,33.4,117.0,Malsain,89.8795081967213,1021.8081967213116,27.0844262295082,5.445901639344262
9,2014-12-30,2014,12,Dec,South America,Brazil,São Paulo,14.5,132.0,83.0,51.3,7.6,91.1,132.0,Malsain,96.13071895424837,1019.1882352941176,28.85882352941176,9.55751633986928
10,2014-12-30,2014,12,Dec,South America,Chile,Santiago,27.8,115.0,61.0,51.4,23.9,36.1,115.0,Malsain,72.50409836065573,1023.9155737704917,32.41885245901639,8.813934426229508
